geohash7,total_events,brake_count,accel_count,avg_speed,avg_lat,avg_lon,unique_dates,unique_journeys
dpxus8,16694,8119,8575,27.898809752006954,42.98070393860368,-78.89812554918247,32,6676
dpxuqc,19077,8109,10968,22.605955863081356,42.94300589521357,-78.80029763211985,33,8715
dpxgy6,19760,8097,11663,23.34071356275296,42.85999088117542,-78.82312269377772,33,8668
dr850n,20723,8081,12642,28.426732133378586,42.74971234295312,-78.74787249992579,33,9573
dr8h3n,17638,8054,9584,30.212371017122244,42.97123976006192,-78.69685570903748,33,7301
dpxuw4,21056,8046,13010,21.559166983282786,42.991885921685316,-78.83392559693718,35,9578
dpxumn,17422,8040,9382,22.85588451383328,42.97088209275759,-78.8751687908946,32,7621
dpxuy3,15847,8022,7825,29.156722408026845,43.03061203975421,-78.8221490526275,32,7270
dr8h0j,16544,7943,8601,26.62268314796916,42.92052384368886,-78.74332624867331,32,8036
dpxuqw,22745,7923,14822,23.20253418333725,42.97145373106016,-78.80911939433203,34,10530
dpxujv,22971,7858,15113,27.283313743415743,42.92162728936618,-78.84245861368035,33,9512
dr8582,19397,7805,11592,29.64036448935409,42.80425231865728,-78.73747797803713,33,8215
dpxuv1,19621,7804,11817,23.430319555578368,43.03036441659394,-78.8785048607646,33,8744
dpxv5t,18962,7745,11217,26.90777555110244,43.098799631576156,-78.94295121569255,35,8492
dpxuj3,20738,7723,13015,19.82710049185076,42.89889477384616,-78.86647166785637,33,9271
dr8h2z,16596,7721,8875,30.89781091829362,42.97786766811091,-78.70955806375132,32,6678
dpxuwg,20829,7693,13136,25.594406836622134,42.999343952229275,-78.79814607028725,33,9141
dpxuj0,22634,7690,14944,21.02992975170096,42.89391512423803,-78.87524166758126,32,10357
dpxut1,17424,7684,9740,25.71227502295696,42.987115059861445,-78.87468417538749,33,8505
dpxgxc,17161,7682,9479,28.12818017598057,42.81126387046289,-78.7521729972035,34,7319
dpxfzh,13939,7680,6259,30.982226128129945,42.69528666583,-78.7871301195188,35,5646
dpxuqk,20003,7634,12369,21.487320401939847,42.958321670549054,-78.82074557406149,33,9833
dpxgxb,17183,7629,9554,28.410687307222368,42.80418837368337,-78.75315210603554,33,7901
dpxv4e,13993,7587,6406,28.49541413563916,43.08673528442856,-78.98439582484241,32,6100
dpxutd,22539,7560,14979,23.279998668973995,42.99158797222612,-78.8530151965525,33,10897
dpxuw1,21926,7550,14376,21.71925522211088,42.98676253867475,-78.83359855824715,32,9692
dr8j38,14452,7532,6920,26.99977373373952,43.11142346436516,-78.68068156670869,33,6233
dpxuq9,15236,7510,7726,22.199569440798438,42.94253140509343,-78.81095204693072,32,5767
dpxgzb,17464,7505,9959,28.447354557947943,42.8490623315954,-78.75446154180983,33,7760
dr8h3t,17585,7504,10081,26.444065396644675,42.96493473915459,-78.67786159448359,34,7867
dpxum2,18407,7484,10923,24.136221546151116,42.93606284353603,-78.86599393257553,32,8901
dpxuv3,18237,7464,10773,25.024057684926436,43.030646105993014,-78.86331081756721,32,7486
dpxgy3,17084,7458,9626,21.012578435963754,42.8554846545306,-78.82065147710853,33,7784
dr8h3m,15484,7367,8117,29.371838026349884,42.965119147768746,-78.69095884474372,32,6402
dpxutm,15183,7362,7821,26.83671408812466,43.00881378614215,-78.86292042356887,33,6738
dr8h05,15629,7341,8288,30.164674003455396,42.908791166421835,-78.74425583895271,32,6394
dr8hbw,18650,7333,11317,31.93543592493323,43.05641711806848,-78.72444526139464,32,6952
dpxumc,18100,7317,10783,22.09308674033151,42.942530591327156,-78.84289375050079,33,7231
