cluster_id,event_count,center_lat,center_lon,avg_speed,avg_accelX,avg_accelY,top_postal,abs_count,esc_count,aeb_count,unique_dates,unique_journeys,hard_brake_nearby,brake_unique_dates,brake_unique_journeys,brake_avg_speed,score_safety_events,score_brake_nearby,score_persistence,confidence_score,n_events_matched,n_dry_warm,n_dry_cold,n_rainy,n_rainy_cold,pct_dry,pct_rainy,avg_temp_at_event,weather_independence,final_confidence
0,202,42.76685457425743,-78.64488105940593,28.39128712871287,-1.2299504950495048,0.1672772277227722,14052,68,134,0,17,31,221,24,83,39.60393665158372,1.0,0.015161909989023,0.8421052631578947,0.6158329842856318,104,25,0,79,0,0.2403846153846154,0.7596153846153846,13.34384745061022,1.0,0.6158329842856318
60,32,42.99133565625,-78.78975940625,35.67,-2.63625,-0.0665625,14261,32,0,0,10,16,13584,32,6279,29.69736969964664,0.1414141414141414,0.9319429198682766,0.4736842105263157,0.5011667311511323,32,2,0,30,0,0.0625,0.9375,9.511327093243592,0.9744395052183996,0.4883566615348321
116,26,42.8840545,-78.76632023076922,43.22461538461538,-1.4907692307692304,0.0323076923076923,14227,26,0,0,11,13,12071,33,5928,29.467276116311822,0.1111111111111111,0.8281421514818881,0.5263157894736842,0.4658731448315263,26,2,0,24,0,0.07692307692307693,0.9230769230769231,13.180485582622282,0.9902173589842704,0.4613156750967705
254,66,42.92374362121212,-78.62264524242423,33.45454545454545,-2.063787878787879,-0.0075757575757575,14086,66,0,0,15,33,5366,33,2613,31.500721207603423,0.3131313131313131,0.3681394072447859,0.7368421052631579,0.4383118441039898,47,4,0,43,0,0.0851063829787234,0.9148936170212766,13.97040305357256,0.9991693327521405,0.4379477528107437
26,72,42.94575997222222,-78.72476799999998,28.11111111111111,-1.7893055555555553,-0.1986111111111111,14225,72,0,0,20,36,1987,32,1146,28.65353799698037,0.3434343434343434,0.1363199780461031,1.0,0.4350857296898734,72,4,0,68,0,0.05555555555555555,0.9444444444444444,12.196003371786617,0.96684276081261,0.42065948808352616
34,22,42.92726890909091,-78.75346363636365,38.705454545454536,-1.9972727272727275,-0.0036363636363636,14225,22,0,0,9,11,8744,33,4407,25.102040256175663,0.0909090909090909,0.5998902305159166,0.4210526315789473,0.351588374938944,22,6,0,16,0,0.2727272727272727,0.7272727272727273,13.197659728873534,1.0,0.351588374938944
86,36,42.88400244444445,-78.86832705555554,35.95555555555555,-2.805555555555556,0.0119444444444444,14204,36,0,0,15,18,4057,32,2102,23.04764111412373,0.1616161616161616,0.278334248079034,0.7368421052631579,0.346273977789916,36,4,0,32,0,0.1111111111111111,0.8888888888888888,13.196115482899113,1.0,0.346273977789916
410,9,42.99115644444444,-78.78873933333334,38.684444444444445,-4.235555555555555,0.0133333333333333,14221,4,0,5,2,2,14576,32,6530,30.5272365532382,0.0252525252525252,1.0,0.0526315789473684,0.3732589048378522,9,0,0,9,0,0.0,1.0,16.72114129949713,0.9060688055662931,0.33819825007341536
210,12,42.95623349999999,-78.69691175,35.68000000000001,-1.7966666666666666,-0.1941666666666666,14221,10,2,0,5,6,11014,32,5255,28.20276920283276,0.0404040404040404,0.7556256860592755,0.2105263157894736,0.333262185229731,11,2,0,9,0,0.18181818181818182,0.8181818181818182,17.495691283495425,1.0,0.333262185229731
95,6,43.05291683333334,-78.7279685,57.173333333333325,-3.968333333333333,0.0133333333333333,14051,6,0,0,3,3,13847,34,4647,38.62892756553767,0.0101010101010101,0.9499862788144896,0.1052631578947368,0.3628513910991596,6,0,0,6,0,0.0,1.0,13.391547746693016,0.9060688055662931,0.3287683265312834
184,16,42.9776945,-78.72469525,14.3,-1.8312500000000005,-0.0875,14221,16,0,0,7,8,10023,33,4399,30.505453457048784,0.0606060606060606,0.6876372118551043,0.3157894736842105,0.3438628168127633,16,0,0,16,0,0.0,1.0,14.681271568007194,0.9060688055662931,0.31156337170820153
232,4,43.089637,-78.9889065,14.72,-0.8125,-0.0274999999999999,14304,4,0,0,2,2,12174,34,5804,27.331902414982743,0.0,0.8352085620197585,0.0526315789473684,0.3054808914437575,4,2,0,2,0,0.5,0.5,17.296758616125583,1.0,0.3054808914437575
329,4,42.93007625,-78.73843625,53.6,-2.7750000000000004,-0.135,14225,4,0,0,2,2,13038,34,5590,29.877815615892004,0.0,0.8944840834248079,0.0526315789473684,0.3262273239355248,4,0,0,4,0,0.0,1.0,17.28510079051312,0.9060688055662931,0.29558440174134915
148,9,43.00151366666666,-78.82238455555556,44.12444444444444,-2.167777777777778,-0.0044444444444444,14150,9,0,0,5,5,9666,32,5066,24.359789985516244,0.0252525252525252,0.6631448957189902,0.2105263157894736,0.294833302550025,8,2,0,6,0,0.25,0.75,15.428496281079013,1.0,0.294833302550025
28,4,42.8679885,-78.6987975,19.92,-1.415,-0.1725,14043,4,0,0,2,2,11436,32,5835,26.210719657222807,0.0,0.7845773874862788,0.0526315789473684,0.2877599803570396,4,2,0,2,0,0.5,0.5,18.378045719530064,1.0,0.2877599803570396
387,6,43.005696666666665,-78.82230816666667,30.666666666666668,-3.9416666666666655,0.105,14150,6,0,0,3,3,11662,34,5827,29.50411421711541,0.0101010101010101,0.8000823271130626,0.1052631578947368,0.3103850080036602,6,0,0,6,0,0.0,1.0,13.124518603741182,0.9060688055662931,0.28123017346756074
301,6,42.77021316666667,-78.81120233333333,52.74666666666667,-3.461666666666668,0.03,14075,6,0,0,3,3,11382,34,4990,29.51477508346512,0.0101010101010101,0.7808726673984633,0.1052631578947368,0.3036616271035504,6,0,0,6,0,0.0,1.0,15.483255879446546,0.9060688055662931,0.275138327766031
