hour_key,wiper_on,wiper_off,wiper_total,rain_ratio,is_rainy,avg_temp,min_temp,max_temp,is_cold,is_freezing
2022-09-30 03,9,6,19,0.47368421052631576,True,5.034217608612073,1.5,16.0,False,False
2022-09-30 04,33,26,76,0.4342105263157895,True,4.455623565416985,1.0,17.5,True,False
2022-09-30 05,101,75,255,0.396078431372549,True,4.812936094805626,0.5,20.5,True,False
2022-09-30 06,322,253,793,0.4060529634300126,True,4.657469771971111,0.0,20.5,True,False
2022-09-30 07,652,501,1853,0.35186184565569345,True,5.001314372401653,-0.5,19.0,False,False
2022-09-30 08,487,281,1139,0.42756804214223004,True,7.06479075036652,0.5,24.0,False,False
2022-09-30 09,283,96,486,0.5823045267489712,True,10.261939383321653,2.0,26.0,False,False
2022-09-30 10,212,29,286,0.7412587412587412,True,13.071234966972513,2.0,26.5,False,False
2022-09-30 11,200,10,245,0.8163265306122449,True,14.834179658982137,5.5,31.0,False,False
2022-09-30 12,233,22,315,0.7396825396825397,True,16.293594188759837,9.5,42.5,False,False
2022-09-30 13,209,15,254,0.8228346456692913,True,17.42605648848438,10.5,34.5,False,False
2022-09-30 14,244,15,294,0.8299319727891157,True,18.086460100853188,11.5,38.5,False,False
2022-09-30 15,271,7,320,0.846875,True,18.366524997846252,11.5,35.0,False,False
2022-09-30 16,299,19,375,0.7973333333333333,True,18.22526286915973,11.0,40.5,False,False
2022-09-30 17,245,10,301,0.813953488372093,True,17.419407700958605,12.0,44.5,False,False
2022-09-30 18,214,17,277,0.7725631768953068,True,15.96542212518195,9.5,38.5,False,False
2022-09-30 19,173,12,226,0.7654867256637168,True,14.330241187384045,8.5,34.0,False,False
2022-09-30 20,88,4,117,0.7521367521367521,True,13.137698881960869,8.0,24.5,False,False
2022-09-30 21,79,4,109,0.7247706422018348,True,12.34109933948074,7.0,31.5,False,False
2022-09-30 22,50,6,81,0.6172839506172839,True,11.603483030189388,6.5,33.5,False,False
2022-09-30 23,36,8,52,0.6923076923076923,True,10.949878536724778,6.5,26.5,False,False
2022-10-01 00,17,5,31,0.5483870967741935,True,10.290272320823737,6.0,20.5,False,False
2022-10-01 01,19,3,26,0.7307692307692307,True,10.038401775804662,5.5,21.0,False,False
2022-10-01 02,9,3,14,0.6428571428571429,True,9.561641745498932,5.5,26.0,False,False
2022-10-01 03,18,8,30,0.6,True,9.18921981223697,6.0,22.5,False,False
2022-10-01 04,8,5,13,0.6153846153846154,True,8.45573476702509,5.0,17.5,False,False
2022-10-01 05,26,18,53,0.49056603773584906,True,9.003199146894161,6.0,18.5,False,False
