cluster_id,event_count,center_lat,center_lon,avg_speed,avg_accelX,top_postal,abs_count,esc_count,aeb_count,unique_dates,unique_journeys
0,208,42.76690206250001,-78.64494300480769,28.673846153846153,-1.2423076923076921,14052,70,138,0,17,33
7,155,42.880941864516124,-78.87481539354839,30.325677419354836,-1.7406451612903222,14203,153,2,0,28,75
25,72,42.8949715,-78.86764809722223,42.08444444444444,-1.8519444444444444,14203,70,2,0,21,35
56,72,42.94575997222222,-78.72476799999998,28.11111111111111,-1.7893055555555553,14225,72,0,0,20,36
523,66,42.92374362121212,-78.62264524242423,33.45454545454545,-2.063787878787879,14086,66,0,0,15,33
71,55,42.991619054545446,-78.78944152727274,42.95563636363638,-2.716727272727273,14261,46,4,5,15,24
76,50,42.95659266,-78.87809354,33.5168,-2.1184,14216,50,0,0,17,25
91,50,42.88437046,-78.86821721999999,32.812799999999996,-2.8598000000000003,14203,50,0,0,18,25
20,44,42.93023422727272,-78.85200577272727,28.99636363636364,-2.6447727272727275,14214,38,6,0,15,20
372,40,43.003211625,-78.854222425,22.848000000000003,-0.9564999999999999,14150,40,0,0,11,20
260,40,42.936710025000004,-78.88859015,33.032,-1.777,14207,40,0,0,16,20
61,38,42.9314962368421,-78.90074378947368,67.11578947368422,-1.8605263157894734,14207,38,0,0,13,19
82,30,42.94669856666667,-78.8734556,33.90933333333333,-1.3416666666666666,14216,20,10,0,11,14
206,28,42.88405410714286,-78.76638849999999,40.63999999999999,-1.637857142857143,14227,28,0,0,12,14
17,26,42.896191076923074,-78.81403961538462,45.96923076923077,-1.7357692307692312,14212,26,0,0,8,12
390,26,42.95374653846154,-78.6967876923077,34.744615384615386,-2.2015384615384614,14221,24,2,0,9,13
348,26,42.963275346153836,-78.67720338461538,18.76923076923077,-2.6834615384615383,14221,26,0,0,11,12
147,26,42.94312323076924,-78.84409907692309,43.113846153846154,-1.2807692307692309,14214,26,0,0,10,13
68,24,42.927236916666665,-78.753555875,37.68,-1.96375,14225,24,0,0,10,12
525,24,42.9209035,-78.63758233333333,28.706666666666667,-2.0429166666666667,14086,24,0,0,9,12
589,24,42.92093975,-78.64242908333334,32.2,-1.835,14086,24,0,0,10,12
292,24,42.892656249999995,-78.88454670833333,33.45333333333334,-2.0233333333333334,14201,24,0,0,10,12
95,22,42.82198177272727,-78.63671822727274,37.018181818181816,-2.0772727272727276,14059,22,0,0,6,11
